TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.563e6,0.05004788333333334,83.04781666666666,-5455.115,0.0,-4809.211666666667,1163.5366666666666,-0.23520483333333334,2336.5716666666667,2336.3383333333336,-6.493133333333333e-5,0.018953933333333332,0.017359299999999998,0.0363132,6,0.05,0.05,0.05,1.0,500000,9500000
7.564e6,0.050027866666666664,84.08826666666666,-5454.799999999999,0.0,-4808.245,1163.0716666666667,-0.23517233333333332,2336.226666666667,2335.99,0.00016191771666666663,0.018968883333333336,0.017319516666666666,0.036288383333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.565e6,0.049976799999999995,84.32853333333333,-5454.46,0.0,-4806.346666666667,1161.8866666666668,-0.23512666666666668,2335.555,2335.318333333333,0.0005704202500000001,0.019037933333333337,0.0173352,0.03637311666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.566e6,0.0498654,83.15153333333335,-5454.718333333333,0.0,-4808.211666666667,1159.2966666666664,-0.235414,2340.2133333333336,2339.978333333333,0.00013960583333333333,0.01898265,0.01736265,0.03634528333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.567e6,0.04999011666666667,83.6811,-5454.893333333333,0.0,-4808.19,1162.1950000000002,-0.23522533333333331,2337.4633333333336,2337.231666666667,0.00042567425000000005,0.01896715,0.017356983333333336,0.036324133333333335,6,0.05,0.05,0.05,1.0,500000,9500000
7.568e6,0.049863199999999996,83.07248333333334,-5455.241666666666,0.0,-4809.543333333334,1159.2433333333333,-0.23550300000000002,2341.943333333333,2341.7066666666665,0.00013823403333333335,0.018972533333333336,0.01732595,0.03629848333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.569e6,0.049850466666666676,83.2874,-5456.025,0.0,-4811.993333333334,1158.9483333333335,-0.23568050000000004,2344.891666666667,2344.6583333333333,0.00036976246666666667,0.01889181666666667,0.01728525,0.03617706666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.57e6,0.049921983333333336,82.5025,-5455.051666666666,0.0,-4810.23,1160.6116666666667,-0.23545916666666666,2341.64,2341.405,-0.00027388900000000003,0.018961583333333334,0.017317166666666665,0.036278733333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.571e6,0.04998908333333333,82.33681666666668,-5454.708333333333,0.0,-4808.716666666666,1162.1716666666669,-0.23526116666666666,2338.75,2338.5133333333333,-0.0004045782499999999,0.019011733333333333,0.017353166666666666,0.0363649,6,0.05,0.05,0.05,1.0,500000,9500000
7.572e6,0.05002816666666667,82.93918333333335,-5455.375,0.0,-4809.671666666666,1163.0783333333334,-0.235264,2338.8716666666664,2338.6366666666668,4.961885000000001e-5,0.019003616666666667,0.017303816666666666,0.03630746666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.573e6,0.04997733333333334,83.93570000000001,-5454.76,0.0,-4808.018333333333,1161.8999999999999,-0.23523366666666667,2338.4666666666667,2338.233333333333,-7.415683333333329e-5,0.0190321,0.017277933333333335,0.03631001666666667,6,0.05,0.05,0.05,1.0,500000,9500000
