TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM
7.4e6,0.05000645,64.98443999999999,-4718.772999999999,0.0,-4100.955,1162.5729999999999,-0.189573,3365.3869999999997,3365.197,6.918776e-5,0.018291050000000003,0.01737557,0.03566661
7.5e6,0.05000654,65.03159,-4723.977000000001,0.0,-4106.181999999999,1162.578,-0.18991,3376.59,3376.4,6.814098999999998e-5,0.01829912,0.017363069999999998,0.03566219999999999
7.6e6,0.05000116,65.04954,-4728.671,0.0,-4110.616,1162.451,-0.19020420000000002,3386.9309999999996,3386.7410000000004,6.542872e-5,0.0183005,0.01737729,0.03567780000000001
7.7e6,0.050000460000000004,64.96377999999999,-4734.520000000001,0.0,-4116.726,1162.4360000000001,-0.1905995,3398.9449999999997,3398.7549999999997,6.80264e-5,0.01829225,0.01737412,0.03566637
7.8e6,0.05000818,65.08198999999999,-4741.176,0.0,-4123.232999999999,1162.614,-0.19100749999999997,3410.862,3410.6699999999996,6.220485e-5,0.018293570000000002,0.017374820000000003,0.03566839000000001
7.9e6,0.05000475,65.25512,-4748.432000000001,0.0,-4130.389,1162.5379999999998,-0.1914745,3423.5229999999997,3423.3309999999997,5.7620519999999996e-5,0.018304250000000005,0.01735929,0.03566355
8.0e6,0.049997429999999995,65.51482000000001,-4755.339999999999,0.0,-4136.808999999999,1162.365,-0.19189959999999998,3435.804,3435.613,6.747153e-5,0.01831108,0.0173674,0.035678499999999995
8.1e6,0.050010120000000005,65.57280999999999,-4762.086,0.0,-4143.278,1162.6589999999999,-0.192298,3447.504,3447.311,6.118085e-5,0.01831363,0.01737887,0.0356925
8.2e6,0.05000568,65.64181,-4767.857,0.0,-4148.99,1162.558,-0.1926732,3459.197,3459.004,5.5436890000000004e-5,0.0183177,0.01737409,0.03569178
8.3e6,0.05000964000000001,65.74083999999998,-4775.044,0.0,-4156.055,1162.65,-0.1931231,3471.7230000000004,3471.5310000000004,5.453484000000001e-5,0.018321419999999998,0.017372059999999998,0.03569348000000001
8.4e6,0.0500054,65.87679,-4781.937,0.0,-4162.694,1162.551,-0.1935575,3483.585,3483.392,5.434583999999999e-5,0.01832937,0.01737166,0.03570104
8.5e6,0.049993,66.08704999999999,-4787.878,0.0,-4168.678000000002,1162.262,-0.19396220000000003,3495.5330000000004,3495.3399999999992,5.872269999999999e-5,0.018328900000000002,0.017355930000000002,0.035684829999999994
8.6e6,0.05000713,65.98251,-4793.943,0.0,-4174.271,1162.592,-0.194302,3506.825,3506.6269999999995,4.962088000000001e-5,0.018342970000000004,0.017378979999999995,0.03572193
8.7e6,0.050004419999999994,66.31794,-4799.644,0.0,-4179.524,1162.5289999999998,-0.19464510000000002,3517.8839999999996,3517.69,5.191584e-5,0.0183438,0.01738545,0.03572925
8.8e6,0.04998835,66.35344,-4806.007,0.0,-4186.24,1162.155,-0.19510209999999995,3530.815,3530.619,4.457431e-5,0.01834036,0.01736373,0.03570411
