TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
3.01e7,0.05004054,87.39894,-5594.454,0.0,-4939.268000000001,1163.37,-0.24360659999999998,6199.68,6199.436,-3.4786599999999936e-6,0.0192497,0.01738168,0.03663136,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.011e7,0.050019079999999994,87.61472,-5594.7480000000005,0.0,-4940.158,1162.868,-0.243696,6203.049999999999,6202.8060000000005,-5.5981179999999984e-5,0.019187759999999998,0.01739132,0.036579099999999996,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.012e7,0.05000496,87.12758,-5594.273999999999,0.0,-4939.87,1162.538,-0.2436988,6204.987999999999,6204.742,-0.00011632859999999999,0.01921092,0.017387519999999997,0.03659842,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.013e7,0.05001894,87.35838,-5594.32,0.0,-4939.886,1162.866,-0.2436788,6206.348000000001,6206.103999999999,-2.912527999999993e-6,0.019219999999999998,0.01736542,0.036585440000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.014e7,0.049969980000000004,87.67202,-5594.910000000001,0.0,-4940.846,1161.7279999999998,-0.2438142,6209.894,6209.65,0.00017610716600000001,0.01919412,0.0173472,0.03654134,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.015e7,0.049929419999999995,87.40912,-5594.942000000001,0.0,-4941.564,1160.784,-0.2439214,6213.231999999999,6212.987999999999,7.011505999999999e-5,0.01916156,0.01735258,0.036514160000000004,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.016e7,0.050024919999999994,87.02596000000001,-5594.692000000001,0.0,-4941.132,1163.0040000000001,-0.2437504,6212.438,6212.198,-0.00010578896400000002,0.0192124,0.01733802,0.03655045999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.017e7,0.049993220000000005,86.95652,-5595.054,0.0,-4941.476000000001,1162.268,-0.24381979999999998,6215.384,6215.138000000001,-0.00018900712000000002,0.01921624,0.01734002,0.03655625999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.018e7,0.049983139999999995,87.02077999999999,-5594.428,0.0,-4940.624,1162.034,-0.2437798,6216.804,6216.562,-0.0001333826676,0.01921454,0.01735226,0.03656684,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.019e7,0.05000038,86.89166,-5594.575999999999,0.0,-4940.9839999999995,1162.4360000000001,-0.24377759999999998,6218.702,6218.456,-0.00016291224,0.01923316,0.0173283,0.03656144,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.02e7,0.050021880000000005,87.09956000000001,-5595.16,0.0,-4940.546,1162.936,-0.24371700000000002,6219.431999999999,6219.1900000000005,-0.00011465831400000002,0.01921832,0.01739544,0.03661373999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.021e7,0.05002656,87.35202000000001,-5594.366,0.0,-4938.87,1163.042,-0.24360179999999998,6219.397999999999,6219.152,-0.000107250746,0.019243939999999998,0.017410540000000002,0.0366545,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.022e7,0.04996198,87.90620000000001,-5594.882,0.0,-4940.938,1161.54,-0.2438322,6224.648,6224.406000000001,0.0001686192,0.019201760000000002,0.017316779999999997,0.036518499999999995,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.023e7,0.050001119999999996,87.73634000000001,-5594.861999999999,0.0,-4940.526,1162.452,-0.24374679999999999,6224.9580000000005,6224.714,0.00011584038,0.019213799999999996,0.017340860000000003,0.036554640000000006,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.024e7,0.05001334,87.65332000000001,-5595.49,0.0,-4940.914,1162.736,-0.24375359999999996,6226.8640000000005,6226.62,-1.862974e-5,0.0191988,0.01737678,0.03657558,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.025e7,0.0500282,87.16725999999998,-5595.638000000001,0.0,-4942.084,1163.0819999999999,-0.2438068,6229.494000000001,6229.25,-0.00019408226,0.019216240000000002,0.0173248,0.036540979999999994,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.026e7,0.04995646,86.92654,-5595.294,0.0,-4941.832,1161.416,-0.2438978,6232.456,6232.214,-0.0001800368,0.019209320000000002,0.01734132,0.03655064,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.027e7,0.04998328,87.31388,-5595.396000000001,0.0,-4941.592000000001,1162.036,-0.2438424,6233.04,6232.798000000001,-3.2470093999999996e-5,0.0192044,0.017343439999999998,0.036547819999999995,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.028e7,0.049997639999999996,87.0744,-5595.49,0.0,-4941.639999999999,1162.368,-0.24382399999999999,6234.4839999999995,6234.244000000001,-5.992572799999999e-5,0.019197239999999997,0.017369000000000002,0.03656624,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.029e7,0.050006039999999995,87.68172,-5595.465999999999,0.0,-4940.674000000001,1162.566,-0.243749,6235.09,6234.848,-4.442702e-5,0.019233679999999996,0.017354139999999997,0.03658782000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
