TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
3.6482e8,0.0499412,29.9635,-2143.49,0.0,-1890.31,464.378,-0.229989,33151.6,33151.4,-0.000108935,0.0185869,0.0174163,0.0360032,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6483e8,0.0500459,30.2597,-2143.48,0.0,-1889.0,465.352,-0.229621,33150.0,33149.8,-4.80387e-5,0.0185975,0.0175676,0.0361651,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6484e8,0.0500628,30.0994,-2143.01,0.0,-1888.73,465.509,-0.229551,33150.2,33149.9,-6.22799e-5,0.0186997,0.0174588,0.0361585,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6485e8,0.0499032,30.5811,-2143.77,0.0,-1889.38,464.025,-0.229895,33152.6,33152.3,-7.75726e-6,0.0185644,0.0175343,0.0360987,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6486e8,0.0501018,30.4959,-2143.22,0.0,-1888.13,465.871,-0.229397,33150.3,33150.0,-8.05665e-5,0.0187461,0.0174788,0.0362249,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6487e8,0.0501261,30.4139,-2143.1,0.0,-1888.64,466.098,-0.229443,33151.2,33151.0,-1.70615e-5,0.0186461,0.0174903,0.0361363,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6488e8,0.0502388,30.8048,-2142.95,0.0,-1887.05,467.145,-0.229017,33149.2,33149.0,8.50738e-6,0.0187281,0.0175775,0.0363056,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6489e8,0.0499341,30.5783,-2143.26,0.0,-1889.47,464.312,-0.229864,33155.2,33154.9,7.69171e-8,0.0185926,0.0174104,0.036003,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.649e8,0.0500908,30.3621,-2143.43,0.0,-1888.57,465.769,-0.229484,33153.6,33153.4,-0.000171359,0.0186537,0.0175555,0.0362092,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6491e8,0.0500243,30.7406,-2143.41,0.0,-1888.94,465.151,-0.229643,33155.3,33155.0,-2.95747e-5,0.0186574,0.0174285,0.0360859,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6492e8,0.0498199,30.2377,-2143.6,0.0,-1890.31,463.25,-0.230172,33159.4,33159.2,-9.60709e-5,0.0186357,0.0173399,0.0359755,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6493e8,0.0499857,30.8108,-2143.53,0.0,-1889.25,464.792,-0.229752,33157.8,33157.6,6.80473e-6,0.0185863,0.0174571,0.0360434,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6494e8,0.0499759,30.5821,-2143.74,0.0,-1888.75,464.701,-0.229685,33158.3,33158.1,-2.16084e-5,0.018659,0.017536,0.036195,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6495e8,0.0501103,31.0813,-2143.32,0.0,-1888.17,465.951,-0.22939,33157.3,33157.1,2.34397e-5,0.0186628,0.0174783,0.0361411,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6496e8,0.0498774,30.2788,-2143.71,0.0,-1890.12,463.785,-0.230054,33161.7,33161.4,-5.56657e-5,0.0185879,0.0174288,0.0360167,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6497e8,0.0501366,30.7212,-2143.42,0.0,-1887.98,466.195,-0.229321,33157.4,33157.2,-5.22872e-6,0.0186842,0.0175607,0.0362448,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6498e8,0.0500264,30.4441,-2143.25,0.0,-1888.34,465.17,-0.229543,33159.4,33159.1,-8.97918e-6,0.0186306,0.0175731,0.0362037,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6499e8,0.0501429,30.8355,-2143.07,0.0,-1887.44,466.254,-0.229223,33158.1,33157.9,-2.90565e-5,0.018719,0.0175391,0.0362581,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.65e8,0.0499163,30.5889,-2143.32,0.0,-1889.52,464.147,-0.229898,33162.8,33162.6,-1.57335e-5,0.0186008,0.0174023,0.0360031,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
