poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
95.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
96.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
96.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
97.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
97.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
98.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
98.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
99.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
99.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
100.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
100.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
101.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
101.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
102.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
102.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
103.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
103.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
104.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
104.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
105.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
105.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
106.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
106.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
107.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
107.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
108.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
108.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
109.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
109.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
110.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
110.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
111.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
111.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
112.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
112.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
113.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
113.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
114.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
114.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
115.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
115.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
116.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
116.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
117.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
117.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
118.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
118.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
119.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
119.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
120.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
120.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
121.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
121.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
122.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
122.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
123.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
123.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
124.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
124.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
125.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
125.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
126.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
126.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
127.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
127.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
128.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
128.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
129.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
129.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
130.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
130.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
